alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.4,mlp,0.76,0.92,0.84,0.88,0.24,0.08,0.16,0.26,0.87,0.8,0.7,"KLEP840101, FAUJ880102, RICJ880101, FASG760102, RICJ880106, CHAM830104, FAUJ880105","[34, 70, 81, 93, 140, 145, 152, 165, 186, 188, 208, 251, 266, 270, 273]",105
28-Lenckowski 2007,0.4,mlp,0.77,0.92,0.84,0.88,0.23,0.08,0.16,0.25,0.87,0.8,0.71,"CHAM830106, CHAM830108, FAUJ880105","[34, 68, 70, 81, 93, 140, 145, 152, 165, 186, 188, 208, 251, 270, 272, 273]",48
SE-B(14),0.4,mlp,0.74,0.92,0.83,0.87,0.26,0.08,0.17,0.3,0.86,0.78,0.68,"KLEP840101, RICJ880109, LEVM760106, CHAM830108, VENT840101, CHAM830104, FINA910102","[34, 68, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 272, 273]",98
6-Taylor86,0.4,random forest,0.74,0.92,0.83,0.87,0.26,0.08,0.17,0.29,0.86,0.78,0.68,"FINA910103, CHAM830104, KRIW790102, KLEP840101, MITS020101, CHAM830103","[34, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 273]",72
7-Risler88,0.4,mlp,0.75,0.92,0.84,0.87,0.25,0.08,0.16,0.29,0.86,0.79,0.69,"RICJ880103, BEGF750102, CHAM830104, KLEP840101, PONP800101, RICJ880117, VENT840101","[34, 68, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 272, 273]",98
20-Cannata 2002,0.4,svc,0.75,0.92,0.83,0.87,0.25,0.08,0.17,0.28,0.86,0.78,0.68,"BEGF750101, KLEP840101, KARS160104, KARS160118, CHAM830108, VENT840101, CHAM830104","[34, 68, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 272, 273]",98
21-Fan 2003,0.4,mlp,0.74,0.92,0.84,0.87,0.26,0.08,0.16,0.3,0.86,0.78,0.68,"ANDN920101, KLEP840101, CHAM830105, FAUJ880105, FINA910104, VENT840101, CHAM830104","[34, 68, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 273]",91
22-Li 2003,0.4,mlp,0.74,0.92,0.83,0.87,0.26,0.08,0.17,0.3,0.86,0.78,0.68,"CASG920101, KLEP840101, RICJ880117, CHAM830103, CHAM830104, VENT840101, FINA910104","[34, 68, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 273]",91
25-Weathers 2004,0.4,random forest,0.7,0.94,0.87,0.85,0.3,0.06,0.13,0.38,0.86,0.77,0.68,"CHAM830107, VENT840101, FAUJ880112, RICJ880109","[93, 140, 145, 152, 165, 188, 208, 251, 266, 270, 273]",44
26-Anderson 2004,0.4,mlp,0.75,0.92,0.83,0.87,0.25,0.08,0.17,0.28,0.86,0.79,0.69,"DAWD720101, BEGF750102, NOZY710101, PONP800101, VENT840101, KLEP840101, ISOY800108","[34, 68, 70, 81, 93, 140, 152, 165, 186, 251, 266, 270, 272, 273]",98
