alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.8,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.82,0.77,0.59,0.46,"KHAG800101, SUEM840102, BEGF750102, FINA910101","[81, 93, 140, 188]",16
28-Lenckowski 2007,0.8,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.81,0.77,0.59,0.47,"ANDN920101, CHAM830108, FAUJ880112","[81, 93, 140, 188]",12
SE-B(14),0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"CHAM830103, ANDN920101, FAUJ880112, MITS020101, LEVM760106, CHAM830107","[93, 140, 266]",18
1-Mahler66,0.8,mlp,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.85,0.76,0.58,0.45,"CHAM830108, CHAM830103, FINA910104, VENT840101, CHAM830105, FAUJ880112","[93, 140, 266]",18
4-Dayhoff78,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"CHAM830103, ANDN920101, AURR980103, FAUJ880111, FAUJ880112, VENT840101","[93, 140, 266]",18
6-Taylor86,0.8,mlp,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"BEGF750103, CHAM830103, CHAM820102, QIAN880127, VENT840101, DAWD720101","[93, 140, 266]",18
7-Risler88,0.8,mlp,0.42,0.94,0.79,0.75,0.58,0.06,0.21,1.09,0.76,0.55,0.44,"CHAM830103, CHAM830107, RACS820109, KARS160105","[93, 140, 266]",12
8-Crippen90,0.8,svc,0.43,0.95,0.81,0.75,0.57,0.05,0.19,1.11,0.76,0.56,0.46,"ANDN920101, FAUJ880103, KLEP840101","[140, 188, 266]",9
9-Maiorov92,0.8,mlp,0.4,0.95,0.81,0.75,0.6,0.05,0.19,1.21,0.76,0.54,0.44,"CHAM830104, ANDN920101, CHAM830107, CHAM830103","[140, 266]",8
11-Riddle97,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.85,0.76,0.58,0.45,"ANDN920101, CHAM830103, CHAM830107, FAUJ880105, FAUJ880112","[93, 140, 266]",15
13-Wang99,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.85,0.76,0.58,0.45,"ANDN920101, CHAM830103, CHAM830107, FAUJ880105, FAUJ880112","[93, 140, 266]",15
16-Murphy 2000,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"FAUJ880105, ANDN920101, VENT840101, CHAM830107, FAUJ880111, NOZY710101","[93, 140, 266]",18
18-Ceiplak 2001,0.8,svc,0.41,0.95,0.81,0.75,0.59,0.05,0.19,1.17,0.76,0.54,0.45,"ANDN920101, CHAM830107, FINA910102, PALJ810114, VENT840101","[93, 140, 188]",15
20-Cannata 2002,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"CHAM830107, CHAM810101, ANDN920101, HOPT810101, MITS020101, FAUJ880112, CHAM830105, VENT840101","[93, 140, 266]",24
21-Fan 2003,0.8,mlp,0.46,0.93,0.77,0.76,0.54,0.07,0.23,0.93,0.76,0.57,0.45,"CHAM830103, CHAM830105, NOZY710101, CHAM830108","[93, 140, 266]",12
22-Li 2003,0.8,mlp,0.46,0.92,0.76,0.76,0.54,0.08,0.24,0.91,0.76,0.57,0.44,"CHAM830108, NOZY710101, CHAM830105, FAUJ880112, CHAM830103, BEGF750102","[93, 140, 266]",18
23a-Edgar Se-B 2003,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"FAUJ880105, ANDN920101, CHAM830105, CHAM830107, FAUJ880111, BEGF750102, CHAM830103","[93, 140, 266]",21
23b-Edgar Se-V 2003,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"FAUJ880105, FAUJ880111, CHAM830107, ANDN920101","[93, 140, 266]",12
25-Weathers 2004,0.8,svc,0.47,0.92,0.75,0.76,0.53,0.08,0.25,0.84,0.76,0.58,0.45,"ANDN920101, CHAM830104, CHAM830107, RICJ880109","[93, 140, 266]",12
26-Anderson 2004,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.85,0.76,0.58,0.45,"ANDN920101, FAUJ880105, LEVM760106, CHAM810101, FAUJ880111, FINA910104, CHAM830105","[93, 140, 266]",21
31-Zuo 2009,0.8,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.85,0.76,0.58,0.45,"NOZY710101, ANDN920101, FINA910104, FAUJ880105, LEVM760106, FASG760102","[93, 140, 266]",18
Van Der Waals Volume,0.8,random forest,0.35,0.97,0.85,0.73,0.65,0.03,0.15,1.63,0.75,0.49,0.43,"ANDN920101, CHAM830104",[140],2
Polarizability,0.8,random forest,0.35,0.97,0.85,0.73,0.65,0.03,0.15,1.63,0.75,0.49,0.43,ANDN920101,[140],1
2-Lehninger70,0.8,random forest,0.35,0.97,0.85,0.73,0.65,0.03,0.15,1.63,0.75,0.49,0.43,"ANDN920101, CHAM830103",[140],2
