alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.4,svc,0.92,0.91,0.93,0.91,0.08,0.09,0.07,0.08,0.92,0.92,0.84,"FAUJ880109, FAUJ880105, KARS160101, RICJ880105, PONP800107, QIAN880137","[49, 82, 120, 123, 132, 134, 143, 144, 154, 155, 157, 171, 188, 192, 225, 261, 275, 277]",108
20-Cannata 2002,0.4,random forest,0.92,0.91,0.92,0.91,0.08,0.09,0.08,0.08,0.92,0.92,0.83,"CHAM830105, KLEP840101, CHAM830107, FINA770101, CHAM830108, LEVM760106","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 158, 171, 188, 189, 192, 196, 225, 275, 277]",132
SE-B(14),0.4,mlp,0.92,0.91,0.92,0.9,0.08,0.09,0.08,0.09,0.91,0.92,0.82,"CHAM830104, BULH740101, FAUJ880110, SUEM840102, KYTJ820101","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 196, 225, 275, 277]",105
7-Risler88,0.4,random forest,0.92,0.91,0.92,0.9,0.08,0.09,0.08,0.08,0.91,0.92,0.83,"CHOP780101, FAUJ880109, CHAM820102, MITS020101, PONP800101, KLEP840101, NOZY710101","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 225, 261, 275, 277]",147
23a-Edgar Se-B 2003,0.4,random forest,0.91,0.9,0.92,0.9,0.09,0.1,0.08,0.09,0.91,0.91,0.81,"RACS820109, CHAM830106, CHAM830107, CHAM830105, FAUJ880109, FINA910104","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 196, 275, 277]",120
31-Zuo 2009,0.4,random forest,0.92,0.9,0.92,0.91,0.08,0.1,0.08,0.08,0.91,0.92,0.83,"PONP800101, FAUJ880105, KLEP840101, FASG760102, CHAM830106, VENT840101, BUNA790103","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 225, 261, 275, 277]",147
1-Mahler66,0.4,random forest,0.91,0.89,0.91,0.89,0.09,0.11,0.09,0.09,0.9,0.91,0.8,"RACS820109, CHAM830108, FINA910104, ONEK900101, CHAM830105, CHAM830104, CHAM830107","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 275, 277]",140
3-Robson76,0.4,svc,0.9,0.9,0.91,0.88,0.1,0.1,0.09,0.1,0.9,0.91,0.8,"CHAM830107, WILM950102, FAUJ880105, FAUJ880112","[61, 82, 123, 134, 143, 144, 154, 155, 156, 157, 158, 171, 188, 189, 196]",60
4-Dayhoff78,0.4,random forest,0.9,0.89,0.91,0.89,0.1,0.11,0.09,0.1,0.9,0.91,0.8,"CHAM830103, ANDN920101, VENT840101, FAUJ880111, KLEP840101, FAUJ880112","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 275, 277]",114
6-Taylor86,0.4,mlp,0.9,0.9,0.92,0.88,0.1,0.1,0.08,0.11,0.9,0.91,0.8,"EISD860102, MITS020101, CHAM820102, CHAM830103, VENT840101, KARS160120, FAUJ880111, FAUJ880112","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 188, 192, 261, 275, 277]",144
16-Murphy 2000,0.4,mlp,0.9,0.9,0.92,0.89,0.1,0.1,0.08,0.1,0.9,0.91,0.8,"FAUJ880105, CHAM830106, FINA910102, FAUJ880111, VENT840101, BEGF750103, CHAM830107, RICJ880111","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 275, 277]",160
21-Fan 2003,0.4,mlp,0.9,0.9,0.92,0.89,0.1,0.1,0.08,0.1,0.9,0.91,0.8,"FINA910101, CHAM830103, CHAM830107, CHAM830104, CHOP780215, FINA910104","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 188, 192, 196, 225, 275, 277]",114
22-Li 2003,0.4,random forest,0.91,0.89,0.91,0.89,0.09,0.11,0.09,0.09,0.9,0.91,0.8,"CHOP780213, FAUJ880109, CHAM830107, FINA910102, FAUJ880105, SUEM840102, RACS820103","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 225, 275, 277]",140
