alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.6,random forest,0.5,0.92,0.77,0.77,0.5,0.08,0.23,0.78,0.77,0.61,0.48,"FAUJ880102, KARS160101","[34, 81, 93, 140, 188, 208, 266, 273]",16
Van Der Waals Volume,0.6,mlp,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.83,0.77,0.59,0.46,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[34, 81, 140, 266, 273]",20
Polarizability,0.6,mlp,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.84,0.77,0.59,0.47,"ANDN920101, FAUJ880111","[34, 81, 140, 266, 273]",10
SE-B(14),0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"RICJ880109, NOZY710101","[34, 81, 93, 140, 165, 266, 273]",14
1-Mahler66,0.6,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.85,0.77,0.59,0.47,"FINA910104, CHAM830108, CHAM830107, CHAM830105, CHAM830104, MITS020101","[34, 81, 93, 140, 266, 273]",36
4-Dayhoff78,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.81,0.77,0.6,0.47,"CHAM830103, KLEP840101, VENT840101, BEGF750103","[81, 93, 140, 165, 266, 273]",24
6-Taylor86,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"FINA910103, CHAM830103","[34, 81, 93, 140, 165, 266, 273]",14
7-Risler88,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"FAUJ880108, NOZY710101","[34, 81, 93, 140, 165, 266, 273]",14
8-Crippen90,0.6,mlp,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.83,0.77,0.59,0.46,"ANDN920101, FAUJ880103, KLEP840101","[34, 140, 188, 208, 266, 273]",18
11-Riddle97,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"CHAM830103, FAUJ880111, FAUJ880112, CHAM830107, FAUJ880105","[34, 81, 93, 140, 165, 266, 273]",35
13-Wang99,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"CHAM830103, FAUJ880111, FAUJ880112, CHAM830107, FAUJ880105","[34, 81, 93, 140, 165, 266, 273]",35
16-Murphy 2000,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"CHAM810101, CHAM830104, FAUJ880109, NOZY710101, BLAM930101","[81, 93, 140, 165, 266, 273]",30
20-Cannata 2002,0.6,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.83,0.77,0.59,0.47,"BEGF750101, KARS160104","[34, 81, 93, 140, 165, 266, 273]",14
21-Fan 2003,0.6,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.83,0.77,0.59,0.47,"CHAM830103, FAUJ880111","[34, 81, 93, 140, 165, 266, 273]",14
22-Li 2003,0.6,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.83,0.77,0.59,0.47,"FAUJ880111, CHAM830103","[34, 81, 93, 140, 165, 266, 273]",14
23a-Edgar Se-B 2003,0.6,svc,0.49,0.92,0.76,0.77,0.51,0.08,0.24,0.81,0.77,0.59,0.47,"FAUJ880105, ANDN920101, BEGF750102, CHAM830108, FAUJ880111, CHAM830107, CHAM830105","[81, 93, 140, 165, 266, 273]",42
23b-Edgar Se-V 2003,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.81,0.77,0.6,0.47,"CHAM810101, CHAM830103, QIAN880138, CHAM830104, GEIM800101, VENT840101, LEVM760103, CHAM830107","[81, 93, 140, 165, 266, 273]",48
25-Weathers 2004,0.6,svc,0.5,0.92,0.77,0.77,0.5,0.08,0.23,0.77,0.77,0.61,0.47,"ANDN920101, RICJ880109, CHAM830104, FAUJ880112","[93, 140, 165, 188, 208, 266, 273]",28
26-Anderson 2004,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"DAWD720101, NOZY710101","[34, 81, 93, 140, 165, 266, 273]",14
28-Lenckowski 2007,0.6,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.81,0.77,0.6,0.47,"ANDN920101, CHAM830108, FAUJ880112","[34, 81, 93, 140, 188, 208, 273]",21
31-Zuo 2009,0.6,svc,0.49,0.92,0.76,0.77,0.51,0.08,0.24,0.81,0.77,0.6,0.47,"RICJ880101, PONP800101, BEGF750103, FAUJ880105, MITS020101, CHAM830107","[81, 93, 140, 165, 266, 273]",36
2-Lehninger70,0.6,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.87,0.76,0.58,0.45,"CHAM830104, CHAM830107, FAUJ880112, CHAM830103, FAUJ880109","[34, 81, 93, 140, 273]",25
3-Robson76,0.6,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.88,0.76,0.58,0.45,"CHAM830104, VENT840101, FAUJ880105, ANDN920101","[34, 81, 93, 140, 273]",20
9-Maiorov92,0.6,svc,0.42,0.95,0.82,0.75,0.58,0.05,0.18,1.15,0.76,0.55,0.46,"CHAM830104, ANDN920101, CHAM830107","[81, 140, 266, 273]",12
10-Thomas96,0.6,mlp,0.44,0.93,0.78,0.75,0.56,0.07,0.22,1.03,0.76,0.56,0.44,"ANDN920101, CHAM830103, FAUJ880112, VENT840101","[34, 81, 93, 140, 273]",20
12-Mirny99,0.6,mlp,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.88,0.76,0.58,0.45,"CHAM830107, VENT840101, FAUJ880111, CHAM830103, FAUJ880112","[34, 81, 140, 273]",20
14b-Prlic SDM17 2000,0.6,mlp,0.51,0.89,0.72,0.77,0.49,0.11,0.28,0.69,0.76,0.6,0.45,"GRAR740101, CHAM830104, KARS160116, CHAM830108, GOLD730101, CHAM820102","[34, 81, 93, 165, 186, 188, 208, 266]",48
18-Ceiplak 2001,0.6,mlp,0.49,0.91,0.75,0.77,0.51,0.09,0.25,0.79,0.76,0.59,0.45,"FINA910102, VENT840101, RICJ880101","[81, 93, 140, 165, 188, 208, 273]",21
19-Liu 2002,0.6,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.86,0.76,0.58,0.45,"CHAM830103, CHAM830105, FAUJ880112, FAUJ880109, CHAM830107","[34, 81, 140, 165, 273]",25
14a-Prlic SDM12 2000,0.6,mlp,0.48,0.89,0.72,0.76,0.52,0.11,0.28,0.78,0.75,0.58,0.42,"GRAR740101, CHAM830104, BROC820102, FAUJ880112, FINA910101, FAUJ880111","[34, 81, 93, 165, 186, 266]",36
30-Solis GBMR4 2009,0.6,mlp,0.45,0.92,0.75,0.76,0.55,0.08,0.25,0.91,0.75,0.57,0.43,"ANDN920101, KLEP840101, MEIH800101, VENT840101","[42, 46, 68, 79, 152, 165, 182, 251, 270, 272]",40
Polarity,0.6,svc,0.41,0.92,0.73,0.74,0.59,0.08,0.27,1.06,0.74,0.53,0.4,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[81, 93, 165, 266]",16
SE-B(8),0.6,mlp,0.41,0.92,0.73,0.74,0.59,0.08,0.27,1.06,0.74,0.53,0.4,"FAUJ880105, GRAR740103, VENT840101, CHAM830103","[81, 93, 165, 266]",16
