alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
1-Mahler66,0.6,random forest,0.89,0.87,0.89,0.88,0.11,0.13,0.11,0.11,0.88,0.89,0.76,"ANDN920101, FINA910104, VENT840101, CHAM830103, FAUJ880109, FAUJ880112, CHAM830107, FAUJ880111","[82, 123, 132, 134, 144, 155, 188, 192, 275, 277]",80
25-Weathers 2004,0.6,random forest,0.88,0.87,0.89,0.86,0.12,0.13,0.11,0.12,0.88,0.89,0.75,"CHAM830107, VENT840101, FAUJ880111, FASG760102, RICJ880109","[49, 61, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 188, 192, 196, 277]",85
8-Crippen90,0.6,svc,0.86,0.88,0.89,0.84,0.14,0.12,0.11,0.15,0.87,0.87,0.73,"ANDN920101, CHAM830103, CHAM830107, FAUJ880103, KLEP840101","[61, 82, 120, 123, 130, 132, 134, 143, 144, 155, 156, 157, 189, 196, 261, 275]",80
20-Cannata 2002,0.6,random forest,0.85,0.88,0.89,0.84,0.15,0.12,0.11,0.16,0.87,0.87,0.73,"RICJ880117, CHAM810101, BEGF750101, FAUJ880109, CHAM830105, BUNA790103","[123, 132, 134, 144, 155, 157, 171, 188, 275]",54
29-Etchebest 2007,0.6,mlp,0.88,0.86,0.88,0.86,0.12,0.14,0.12,0.12,0.87,0.88,0.73,"CHAM830105, GEIM800105, FINA910104, FAUJ880105, VENT840101, CHAM830103","[120, 123, 134, 136, 144, 154, 156, 171, 188, 192, 225, 261, 275, 277]",84
SE-B(14),0.6,random forest,0.85,0.88,0.89,0.83,0.15,0.12,0.11,0.16,0.86,0.87,0.73,"BEGF750101, CHAM830103, FAUJ880111, BEGF750103, CHAM830105, FINA910101, FAUJ880112, FAUJ880109","[123, 132, 134, 144, 155, 157, 171, 188, 275]",72
SE-B(8),0.6,random forest,0.86,0.86,0.88,0.84,0.14,0.14,0.12,0.14,0.86,0.87,0.73,"FAUJ880105, VENT840101, FAUJ880111, CHAM830105, CHAM830103","[120, 123, 134, 136, 144, 154, 156, 171, 188, 192, 275, 277]",60
2-Lehninger70,0.6,mlp,0.86,0.87,0.88,0.84,0.14,0.13,0.12,0.14,0.86,0.87,0.73,"CHAM830104, FAUJ880111, FAUJ880112, CHAM830103, ANDN920101","[61, 82, 134, 143, 144, 155, 156, 157, 171, 188, 196]",55
14a-Prlic SDM12 2000,0.6,random forest,0.87,0.84,0.87,0.84,0.13,0.16,0.13,0.13,0.86,0.87,0.71,"CHAM830103, CHAM830105, BULH740101, FAUJ880112, CHOP780209, FAUJ880111, VENT840101","[123, 132, 134, 143, 144, 171, 188, 192, 275, 277]",70
22-Li 2003,0.6,random forest,0.88,0.84,0.87,0.86,0.12,0.16,0.13,0.12,0.86,0.87,0.72,"FAUJ880109, FINA910102, DAYM780101, CHAM830104, VENT840101","[123, 132, 134, 143, 144, 155, 188, 192, 275, 277]",50
23a-Edgar Se-B 2003,0.6,random forest,0.84,0.88,0.89,0.82,0.16,0.12,0.11,0.17,0.86,0.86,0.72,"FAUJ880105, FAUJ880111, CHAM830103, CHAM830107, FINA770101","[123, 134, 144, 155, 157, 171, 188, 275]",40
28-Lenckowski 2007,0.6,mlp,0.84,0.88,0.89,0.82,0.16,0.12,0.11,0.17,0.86,0.86,0.71,"CHAM830106, CHAM830108, FAUJ880105, CHAM830103, FAUJ880112, KLEP840101","[134, 144, 155, 157, 171, 188]",36
31-Zuo 2009,0.6,random forest,0.84,0.88,0.89,0.82,0.16,0.12,0.11,0.18,0.86,0.86,0.71,"CHAM830105, PONP800103, CHAM830104, LEVM760107, FAUJ880112","[123, 134, 144, 155, 157, 171, 188, 261, 275]",45
Polarity,0.6,svc,0.85,0.85,0.87,0.83,0.15,0.15,0.13,0.16,0.85,0.86,0.7,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[120, 123, 132, 134, 136, 143, 154, 156, 171, 188, 192, 275, 277]",52
7-Risler88,0.6,mlp,0.84,0.87,0.89,0.82,0.16,0.13,0.11,0.18,0.85,0.86,0.71,"CHOP780101, FAUJ880109, LEVM760107, CHAM830104, CHAM830105, CHAM830103, MITS020101","[123, 132, 134, 144, 155, 157, 171, 188, 261, 275]",70
9-Maiorov92,0.6,random forest,0.86,0.83,0.86,0.83,0.14,0.17,0.14,0.14,0.85,0.86,0.69,"CHAM830104, CHAM830105, CHAM830107, KARS160120, CHAM830108","[123, 134, 144, 155, 188, 275, 277]",35
15a-Solis(G) 2000,0.6,random forest,0.87,0.83,0.86,0.84,0.13,0.17,0.14,0.13,0.85,0.86,0.7,"BROC820102, CHAM830105, RACS820101, FINA910101","[123, 132, 134, 143, 144, 171, 188, 192, 261, 275, 277]",44
16-Murphy 2000,0.6,random forest,0.86,0.83,0.86,0.83,0.14,0.17,0.14,0.14,0.85,0.86,0.69,"CHAM830106, CHAM830104, FAUJ880111, VENT840101, FAUJ880110","[123, 134, 144, 155, 188, 275, 277]",35
21-Fan 2003,0.6,svc,0.85,0.85,0.87,0.83,0.15,0.15,0.13,0.15,0.85,0.86,0.7,"FINA910102, CHAM830104, CHAM830103, FAUJ880112, CHOP780215, FINA910104, CHAM830107","[123, 132, 134, 144, 155, 188, 275]",49
Standard,0.6,mlp,0.82,0.87,0.88,0.8,0.18,0.13,0.12,0.2,0.84,0.85,0.69,"FAUJ880105, MEIH800101, KARS160108, KLEP840101, FAUJ880109","[132, 134, 155, 157, 188, 261, 275]",35
4-Dayhoff78,0.6,random forest,0.84,0.83,0.85,0.82,0.16,0.17,0.15,0.16,0.84,0.85,0.67,"CHAM830103, LEVM780101, VENT840101, FAUJ880111, FAUJ880112","[82, 134, 144, 188, 275, 277]",30
6-Taylor86,0.6,mlp,0.87,0.8,0.83,0.84,0.13,0.2,0.17,0.12,0.84,0.85,0.67,"KARS160120, QIAN880117, LEVM760107, FAUJ880112, CHAM830103","[132, 134, 144, 155, 188, 261, 275]",35
17-Rogov 2001,0.6,mlp,0.83,0.85,0.87,0.81,0.17,0.15,0.13,0.18,0.84,0.85,0.68,"FAUJ880109, VENT840101, FAUJ880111, CHAM830103, NOZY710101","[134, 143, 144, 154, 156, 157, 171, 188, 189]",45
23b-Edgar Se-V 2003,0.6,random forest,0.85,0.82,0.85,0.83,0.15,0.18,0.15,0.15,0.84,0.85,0.67,"CHAM830103, CHAM830107, CHAM830104, LEVM760103, ANDN920101","[123, 134, 144, 155, 188, 275, 277]",35
26-Anderson 2004,0.6,mlp,0.79,0.89,0.89,0.78,0.21,0.11,0.11,0.24,0.84,0.84,0.68,"GOLD730101, BEGF750101, LEVM760106, SUEM840102, VENT840101","[123, 134, 155, 157, 171, 275]",30
Hyrophobic,0.6,mlp,0.82,0.84,0.85,0.8,0.18,0.16,0.15,0.19,0.83,0.84,0.65,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[120, 123, 132, 134, 143, 156, 171, 188, 192, 275, 277]",44
3-Robson76,0.6,svc,0.79,0.88,0.88,0.78,0.21,0.12,0.12,0.24,0.83,0.83,0.66,"WILM950102, FAUJ880105, VENT840101, CHAM830107, NOZY710101","[123, 134, 155, 157, 171]",25
5-Dickerson83,0.6,mlp,0.82,0.84,0.86,0.8,0.18,0.16,0.14,0.2,0.83,0.84,0.65,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[120, 123, 132, 134, 143, 156, 171, 188, 192, 275, 277]",44
27-Melo 2005,0.6,random forest,0.81,0.85,0.86,0.79,0.19,0.15,0.14,0.2,0.83,0.83,0.65,"CHAM830103, KLEP840101, PALJ810110","[120, 130, 134, 136, 143, 154, 156, 171]",24
Van Der Waals Volume,0.6,random forest,0.76,0.88,0.89,0.76,0.24,0.12,0.11,0.27,0.82,0.82,0.65,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[82, 144, 157, 188, 275]",20
Polarizability,0.6,random forest,0.76,0.88,0.89,0.76,0.24,0.12,0.11,0.27,0.82,0.82,0.65,"ANDN920101, FAUJ880111","[82, 144, 157, 188, 275]",10
10-Thomas96,0.6,mlp,0.83,0.82,0.84,0.8,0.17,0.18,0.16,0.17,0.82,0.83,0.64,"KLEP840101, CHAM830103, VENT840101, FAUJ880109","[82, 134, 155]",12
11-Riddle97,0.6,mlp,0.83,0.82,0.84,0.8,0.17,0.18,0.16,0.17,0.82,0.83,0.64,"JANJ790102, FAUJ880105, NOZY710101, FAUJ880111, BEGF750102, FAUJ880112","[123, 134, 143, 155]",24
13-Wang99,0.6,mlp,0.83,0.82,0.84,0.8,0.17,0.18,0.16,0.17,0.82,0.83,0.64,"JANJ790102, FAUJ880105, NOZY710101, FAUJ880111, BEGF750102, FAUJ880112","[123, 134, 143, 155]",24
15b-Solis(D) 2000,0.6,mlp,0.79,0.85,0.86,0.78,0.21,0.15,0.14,0.23,0.82,0.83,0.64,"FAUJ880105, RACS820109, VENT840101, CHOP780204, FAUJ880111, ROSM880103","[120, 134, 156, 171, 188, 225, 261, 275]",48
19-Liu 2002,0.6,mlp,0.83,0.82,0.84,0.8,0.17,0.18,0.16,0.18,0.82,0.83,0.64,"KLEP840101, CHAM830103, FAUJ880109","[82, 134, 155]",9
14b-Prlic SDM17 2000,0.6,mlp,0.85,0.77,0.82,0.81,0.15,0.23,0.18,0.15,0.81,0.83,0.62,"SUEM840102, MIYS990102, RACS820101, CHAM830103, BEGF750103, FAUJ880111, LEVM760107","[132, 134, 188, 261, 275]",35
12-Mirny99,0.6,mlp,0.76,0.82,0.84,0.75,0.24,0.18,0.16,0.27,0.79,0.8,0.59,"CHAM830103, WILM950102, NOZY710101, BEGF750102","[123, 134, 155]",12
30-Solis GBMR4 2009,0.6,mlp,0.77,0.82,0.83,0.75,0.23,0.18,0.17,0.26,0.79,0.8,0.58,"ANDN920101, FAUJ880112, KLEP840101, MEIH800101, VENT840101","[120, 134, 136, 143, 156, 171]",30
