alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
7-Risler88,0.5,random forest,0.9,0.89,0.91,0.89,0.1,0.11,0.09,0.1,0.9,0.9,0.79,"CHOP780101, FAUJ880109, NOZY710101, LEVM760107, PONP800101, MITS020101","[82, 120, 123, 132, 134, 143, 144, 154, 155, 157, 171, 188, 192, 261, 275, 277]",96
22-Li 2003,0.5,mlp,0.9,0.9,0.91,0.88,0.1,0.1,0.09,0.1,0.9,0.9,0.79,"FINA910102, FINA910101, VENT840101, CHAM830104, FAUJ880109","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 188, 192, 225, 275, 277]",90
31-Zuo 2009,0.5,mlp,0.9,0.89,0.91,0.89,0.1,0.11,0.09,0.1,0.9,0.9,0.79,"KARS160104, LEVM760107, CHAM830104, VENT840101, FAUJ880112, CHAM830105, FAUJ880105","[82, 120, 123, 134, 144, 154, 155, 157, 171, 188, 192, 225, 261, 275, 277]",105
SE-B(14),0.5,mlp,0.88,0.89,0.91,0.87,0.12,0.11,0.09,0.12,0.89,0.9,0.78,"BEGF750101, CHAM830103, FAUJ880111, FAUJ880110, CHAM830105, FINA910101, FAUJ880112, FAUJ880109","[82, 123, 132, 134, 143, 144, 155, 157, 171, 188, 192, 275, 277]",104
1-Mahler66,0.5,mlp,0.89,0.89,0.91,0.87,0.11,0.11,0.09,0.11,0.89,0.9,0.78,"RACS820109, CHAM830104, CHAM830108, FAUJ880112, VENT840101, FINA910104, FAUJ880109, CHAM830105","[61, 82, 120, 123, 132, 134, 136, 144, 154, 155, 156, 157, 188, 192, 275, 277]",128
4-Dayhoff78,0.5,random forest,0.89,0.88,0.9,0.87,0.11,0.12,0.1,0.11,0.89,0.9,0.78,"CHAM830103, ANDN920101, KLEP840101, VENT840101, FAUJ880111, FAUJ880112","[61, 82, 120, 134, 136, 144, 154, 155, 156, 157, 188, 192, 275, 277]",84
9-Maiorov92,0.5,random forest,0.89,0.9,0.92,0.87,0.11,0.1,0.08,0.12,0.89,0.9,0.79,"FAUJ880105, CHOC760102, CHAM830107, CHAM830108, KARS160120","[61, 82, 120, 123, 134, 143, 144, 155, 156, 157, 188, 192, 275, 277]",70
16-Murphy 2000,0.5,mlp,0.88,0.9,0.91,0.86,0.12,0.1,0.09,0.12,0.89,0.89,0.78,"CHAM830106, FAUJ880105, FINA910102, CHAM830107, BEGF750103, VENT840101, FAUJ880111","[61, 82, 120, 123, 134, 136, 144, 154, 155, 156, 157, 188, 192, 275, 277]",105
20-Cannata 2002,0.5,mlp,0.88,0.9,0.91,0.87,0.12,0.1,0.09,0.12,0.89,0.9,0.78,"FAUJ880110, CHAM810101, RICJ880117, BEGF750101, CHAM830105, FAUJ880109","[82, 123, 132, 134, 143, 144, 155, 157, 171, 188, 192, 275, 277]",78
23b-Edgar Se-V 2003,0.5,mlp,0.89,0.88,0.9,0.87,0.11,0.12,0.1,0.11,0.89,0.89,0.77,"KLEP840101, GEIM800101, ANDN920101, CHAM830103, LEVM760103, FAUJ880111, CHAM830107","[61, 82, 120, 123, 134, 136, 144, 154, 155, 156, 157, 188, 192, 275, 277]",105
