alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.7,svc,0.5,0.92,0.77,0.77,0.5,0.08,0.23,0.79,0.77,0.6,0.48,"FAUJ880102, KARS160101","[34, 81, 93, 140, 188, 266]",12
SE-B(14),0.7,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.84,0.77,0.59,0.46,"RICJ880109, NOZY710101","[34, 81, 93, 140, 266]",10
1-Mahler66,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.86,0.77,0.59,0.46,"BEGF750103, MITS020101, VENT840101, CHAM830103","[34, 81, 93, 140, 266]",20
6-Taylor86,0.7,mlp,0.48,0.92,0.77,0.76,0.52,0.08,0.23,0.86,0.77,0.59,0.46,"MITS020101, CHAM830103, QIAN880127, BEGF750103","[34, 81, 93, 140, 266]",20
7-Risler88,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.86,0.77,0.59,0.46,"FAUJ880108, NOZY710101","[34, 81, 93, 140, 266]",10
8-Crippen90,0.7,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.8,0.77,0.6,0.47,"ANDN920101, FAUJ880103, KLEP840101","[34, 140, 188, 208, 266]",15
11-Riddle97,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.86,0.77,0.59,0.46,"ANDN920101, CHAM830103, CHAM830107, FAUJ880105, FAUJ880112","[34, 81, 93, 140, 266]",25
13-Wang99,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.86,0.77,0.59,0.46,"ANDN920101, CHAM830103, CHAM830107, FAUJ880105, FAUJ880112","[34, 81, 93, 140, 266]",25
20-Cannata 2002,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.85,0.77,0.59,0.46,"KARS160104, BEGF750101","[34, 81, 93, 140, 266]",10
21-Fan 2003,0.7,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.85,0.77,0.59,0.47,"CHAM830103, ANDN920101, FINA910104, VENT840101, NOZY710101","[34, 81, 93, 140, 266]",25
22-Li 2003,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.86,0.77,0.59,0.46,"RACS820109, RICJ880101, BEGF750102, FINA910104, NOZY710101, CHAM830107","[34, 81, 93, 140, 266]",30
25-Weathers 2004,0.7,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.79,0.77,0.6,0.47,"CHAM830107, RICJ880109, CHAM830104","[93, 140, 188, 208, 266]",15
26-Anderson 2004,0.7,svc,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.86,0.77,0.59,0.46,"DAWD720101, NOZY710101","[34, 81, 93, 140, 266]",10
28-Lenckowski 2007,0.7,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.81,0.77,0.6,0.47,"ANDN920101, CHAM830108, FAUJ880112","[34, 81, 93, 140, 188, 208]",18
